naics,name,baseline_tradable,corrected_tradable
325414,Biological Product (except Diagnostic) Manufacturing,tradable,tradable
325510,Paint and Coating Manufacturing,non-tradable,non-tradable
325520,Adhesive Manufacturing,tradable,tradable
325611,Soap and Other Detergent Manufacturing,tradable,tradable
325612,Polish and Other Sanitation Good Manufacturing,tradable,tradable
325613,Surface Active Agent Manufacturing,tradable,tradable
325620,Toilet Preparation Manufacturing,tradable,tradable
325910,Printing Ink Manufacturing,tradable,tradable
325920,Explosives Manufacturing,tradable,tradable
325991,Custom Compounding of Purchased Resins,tradable,tradable
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",tradable,tradable
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,non-tradable,tradable
326111,Plastics Bag and Pouch Manufacturing,tradable,tradable
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,tradable,tradable
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,tradable,tradable
326121,Unlaminated Plastics Profile Shape Manufacturing,tradable,tradable
326122,Plastics Pipe and Pipe Fitting Manufacturing,tradable,tradable
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",tradable,tradable
326140,Polystyrene Foam Product Manufacturing,tradable,tradable
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,tradable,tradable
326160,Plastics Bottle Manufacturing,tradable,tradable
326191,Plastics Plumbing Fixture Manufacturing,tradable,tradable
326192,Resilient Floor Covering Manufacturing,tradable,tradable
326199,All Other Plastics Product Manufacturing,non-tradable,tradable
326211,Tire Manufacturing (except Retreading),tradable,tradable
326212,Tire Retreading,tradable,tradable
326220,Rubber and Plastics Hoses and Belting Manufacturing,tradable,tradable
326291,Rubber Product Manufacturing for Mechanical Use,tradable,tradable
326299,All Other Rubber Product Manufacturing,tradable,tradable
327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,tradable,tradable
327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",tradable,tradable
327113,Porcelain Electrical Supply Manufacturing,tradable,tradable
327121,Brick and Structural Clay Tile Manufacturing,tradable,tradable
327122,Ceramic Wall and Floor Tile Manufacturing,tradable,tradable
327123,Other Structural Clay Product Manufacturing,tradable,tradable
327124,Clay Refractory Manufacturing,tradable,tradable
327125,Nonclay Refractory Manufacturing,tradable,tradable
327211,Flat Glass Manufacturing,tradable,tradable
327212,Other Pressed and Blown Glass and Glassware Manufacturing,tradable,tradable
327213,Glass Container Manufacturing,tradable,tradable
327215,Glass Product Manufacturing Made of Purchased Glass,non-tradable,non-tradable
327310,Cement Manufacturing,tradable,tradable
327320,Ready-Mix Concrete Manufacturing,non-tradable,non-tradable
327331,Concrete Block and Brick Manufacturing,non-tradable,non-tradable
327332,Concrete Pipe Manufacturing,tradable,non-tradable
327390,Other Concrete Product Manufacturing,non-tradable,non-tradable
327410,Lime Manufacturing,tradable,tradable
327420,Gypsum Product Manufacturing,tradable,tradable
327910,Abrasive Product Manufacturing,tradable,tradable
327991,Cut Stone and Stone Product Manufacturing,non-tradable,non-tradable
327992,Ground or Treated Mineral and Earth Manufacturing,tradable,tradable
327993,Mineral Wool Manufacturing,tradable,tradable
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,tradable,tradable
331111,Iron and Steel Mills,tradable,tradable
331112,Electrometallurgical Ferroalloy Product Manufacturing,tradable,tradable
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,tradable,tradable
331221,Rolled Steel Shape Manufacturing,tradable,tradable
331222,Steel Wire Drawing,tradable,tradable
331311,Alumina Refining,tradable,tradable
331312,Primary Aluminum Production,tradable,tradable
331314,Secondary Smelting and Alloying of Aluminum,tradable,tradable
331315," Aluminum Sheet, Plate, and Foil Manufacturing",tradable,tradable
331316,Aluminum Extruded Product Manufacturing,tradable,tradable
331319,Other Aluminum Rolling and Drawing,tradable,tradable
331411,Primary Smelting and Refining of Copper,tradable,tradable
331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),tradable,tradable
331421,"Copper Rolling, Drawing, and Extruding",tradable,tradable
331422,Copper Wire (except Mechanical) Drawing,tradable,tradable
331423,"Secondary Smelting, Refining, and Alloying of Copper",tradable,tradable
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",tradable,tradable
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",tradable,tradable
331511,Iron Foundries,tradable,tradable
331512,Steel Investment Foundries,tradable,tradable
331513,Steel Foundries (except Investment),tradable,tradable
331521,Aluminum Die-Casting Foundries,tradable,tradable
331522,Nonferrous (except Aluminum) Die-Casting Foundries,tradable,tradable
331524,Aluminum Foundries (except Die-Casting),tradable,tradable
